"mz","rt","X100_300_Pos_jgu1.mzXML","X100_300_Pos_jgu2.mzXML","X100_300_Pos_jgw1.mzXML","X100_300_Pos_jgw2.mzXML","X100_300_Pos_nju1.mzXML","X100_300_Pos_nju2.mzXML","X100_300_Pos_njw1.mzXML","X100_300_Pos_njw2.mzXML","X100_300_Pos_oju2.mzXML","X100_300_Pos_ojw1.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","chracaterscore","ionmodescore","adductscore","MS2score","allscore","temp.scorevalues"
102.5013072,2.9094,100,100,100,100,211634.2813,377526.0313,379908.3125,390922.0938,773424.9375,524258.3125,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
102.947169,0.006533733,116451.4609,100,103038.9688,111714.4219,138118.5625,104437.3984,152856.5781,110927.3516,182343.2656,71306.77344,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
102.967603,0.006576817,191087.1094,185074.5313,219082.7656,178167.9375,192230.5,211277.75,281338.6875,215138.2969,223591.2969,209481.25,7,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
102.969663,0.643335,2739703.0859375,465179.7734375,3458265.8359375,660469.7734375,3734074.3359375,3716334.3359375,4449984.8359375,4032740.8359375,4581499.3359375,4481650.5,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
102.9696681,0.35202,449990.7109375,465179.7734375,422348.4609375,660469.7734375,142964.5859375,100,153979.6797375,122859.2422375,483392.3984375,1005343.875,10,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
102.9983775,0.870825,100,100,100,107932.408678906,100,100,130157.291478906,141622.822778906,141088.619678906,195532.5625,10,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
103.0060755,2.9875,2326585.5,2675625.25,2746140.5,855367.0625,2261972.75,2267886.5,1848111.25,2142164.75,1943866.875,1448578,3,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
103.0063273,10.97185,100,100,100,100,106366.0234,115774.875,272990.0625,121687.7813,693574.5,271533.3438,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
103.0069402,0.897766667,1770915.125,2201009.75,1512043,3018952,238093.6094,224970.0781,354367.6875,213089.2344,270522.5313,325740.3438,4,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
103.074646,3.691716667,120820.375,526950.8125,100,100,100,100,100,100,100,132943.3438,2,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
